Date;Time;Severity;TID;This;Function;Message
2021/10/29;17:05:31.917;INFO;28095;0;ecat_main_loop@101;"Ehercat-Esmacat shared memory initialized with key 1141178369"
2021/10/29;17:05:31.918;INFO;28095;0;ecat_main_loop@115;"ecat application is on"
2021/10/29;17:05:31.927;INFO;28095;0;ecat_main_loop@121;"ec_init on enp2s0 succeeded."
2021/10/29;17:05:31.949;INFO;28095;0;ecat_main_loop@125;"1 slaves found and configured."
2021/10/29;17:05:31.979;INFO;28095;0;ecat_main_loop@132;"Slaves mapped, state to SAFE_OP."
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@140;"Slave Index: 0"
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@141;"Manufacturer code: 0000063a Name: SENSO-Joint Product ID: 005b9729,  Rev: 00010000 iByte: 29 oByte: 27"
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@155;"segments : 1 : 56 0 0 0"
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@157;"Request operational state for all slaves"
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@159;"Calculated workcounter 3"
2021/10/29;17:05:31.980;INFO;28095;0;ecat_main_loop@170;"ecat setup is done in ecat_main"
2021/10/29;17:05:31.981;INFO;28095;0;ecat_main_loop@183;"Operational state reached for all slaves."
2021/10/29;17:05:31.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 1"
2021/10/29;17:05:32.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 1001"
2021/10/29;17:05:33.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 2001"
2021/10/29;17:05:34.117;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3071602 ns"
2021/10/29;17:05:34.118;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2735069 ns"
2021/10/29;17:05:34.118;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2074888 ns"
2021/10/29;17:05:34.118;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1388684 ns"
2021/10/29;17:05:34.119;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 785544 ns"
2021/10/29;17:05:34.119;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 250343 ns"
2021/10/29;17:05:34.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 3001"
2021/10/29;17:05:35.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 4001"
2021/10/29;17:05:36.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 5001"
2021/10/29;17:05:37.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 6001"
2021/10/29;17:05:38.349;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2009313 ns"
2021/10/29;17:05:38.350;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1996290 ns"
2021/10/29;17:05:38.350;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1423161 ns"
2021/10/29;17:05:38.351;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 752735 ns"
2021/10/29;17:05:38.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 7001"
2021/10/29;17:05:39.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 505321 ns"
2021/10/29;17:05:39.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 8001"
2021/10/29;17:05:39.996;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3084636 ns"
2021/10/29;17:05:40.000;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 6132932 ns"
2021/10/29;17:05:40.000;INFO;28096;0;ecat_chk@387;"OK : all slaves resumed OPERATIONAL."
2021/10/29;17:05:40.000;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 5504895 ns"
2021/10/29;17:05:40.001;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 4897453 ns"
2021/10/29;17:05:40.001;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 4208725 ns"
2021/10/29;17:05:40.001;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3527096 ns"
2021/10/29;17:05:40.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2926131 ns"
2021/10/29;17:05:40.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2251009 ns"
2021/10/29;17:05:40.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1531281 ns"
2021/10/29;17:05:40.003;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 830581 ns"
2021/10/29;17:05:40.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 9001"
2021/10/29;17:05:41.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 10001"
2021/10/29;17:05:42.853;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 663886 ns"
2021/10/29;17:05:42.854;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 918784 ns"
2021/10/29;17:05:42.854;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 261291 ns"
2021/10/29;17:05:42.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 11001"
2021/10/29;17:05:43.632;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2922609 ns"
2021/10/29;17:05:43.636;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 5919543 ns"
2021/10/29;17:05:43.638;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 7138342 ns"
2021/10/29;17:05:43.638;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 6259947 ns"
2021/10/29;17:05:43.638;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 5342859 ns"
2021/10/29;17:05:43.638;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 4431126 ns"
2021/10/29;17:05:43.638;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3515864 ns"
2021/10/29;17:05:43.639;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2597289 ns"
2021/10/29;17:05:43.639;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1673988 ns"
2021/10/29;17:05:43.639;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 751534 ns"
2021/10/29;17:05:43.640;INFO;28096;0;ecat_chk@387;"OK : all slaves resumed OPERATIONAL."
2021/10/29;17:05:43.643;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1924967 ns"
2021/10/29;17:05:43.643;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1065436 ns"
2021/10/29;17:05:43.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 12001"
2021/10/29;17:05:44.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 13001"
2021/10/29;17:05:45.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 14001"
2021/10/29;17:05:46.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 15001"
2021/10/29;17:05:47.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 16001"
2021/10/29;17:05:48.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 17001"
2021/10/29;17:05:49.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 18001"
2021/10/29;17:05:50.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 19001"
2021/10/29;17:05:51.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 20001"
2021/10/29;17:05:52.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 21001"
2021/10/29;17:05:53.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 22001"
2021/10/29;17:05:53.996;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3077223 ns"
2021/10/29;17:05:54.001;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 7103184 ns"
2021/10/29;17:05:54.002;INFO;28096;0;ecat_chk@387;"OK : all slaves resumed OPERATIONAL."
2021/10/29;17:05:54.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 6897890 ns"
2021/10/29;17:05:54.002;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 6477476 ns"
2021/10/29;17:05:54.003;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 5806675 ns"
2021/10/29;17:05:54.003;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 5107972 ns"
2021/10/29;17:05:54.003;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 4411580 ns"
2021/10/29;17:05:54.004;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 3641211 ns"
2021/10/29;17:05:54.004;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2920334 ns"
2021/10/29;17:05:54.004;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 2206835 ns"
2021/10/29;17:05:54.004;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 1430717 ns"
2021/10/29;17:05:54.005;WARN;28095;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 623339 ns"
2021/10/29;17:05:54.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 23001"
2021/10/29;17:05:55.981;INFO;28095;0;ecat_main_loop@219;"ecat_main_loop: 24001"
2021/10/29;17:05:56.177;INFO;28095;0;ecat_main_loop@280;"Request init state for all slaves"
2021/10/29;17:05:56.177;INFO;28095;0;ecat_main_loop@289;"ecat main loop, close socket"
2021/10/29;17:05:56.181;INFO;28096;0;ecat_chk@398;"end of the ecat_chk_thread"
2021/10/29;17:05:56.197;INFO;28095;0;ecat_main_loop@302;"ecat app has been closed, ecat socket has been closed, shared memory at ecat_app has been detached.  "
