Date;Time;Severity;TID;This;Function;Message
2024/04/17;10:57:11.733;INFO;14564;0;esmacat_master::esmacat_master@57;"esmacat master has been created."
2024/04/17;10:57:11.734;INFO;14564;0;esmacat_master::esmacat_master@67;"Ehercat-Esmacat shared memory initialized with key 1141178369"
2024/04/17;10:57:11.734;INFO;14564;0;esmacat_slave::esmacat_slave@16;"esmacat_slave object has been created!"
2024/04/17;10:57:11.734;INFO;14564;0;esmacat_master::StartInternalThread@130;"Esmacat Master Thread is creating!"
2024/04/17;10:57:11.734;INFO;14566;0;esmacat_master::esmacat_master_loop@162;"esmacat application is on!"
2024/04/17;10:57:16.829;ERROR;14566;0;flow_control@18;"Timeout for waiting ecat_application_on"
2024/04/17;10:57:16.829;ERROR;14566;0;flow_control@19;"current status 0 couldn't pass the desired status 1"
2024/04/17;10:57:16.841;INFO;14564;0;esmacat_slave::~esmacat_slave@22;"esmacat_slave object has been destructed"
2024/04/17;10:59:24.252;INFO;14629;0;esmacat_master::esmacat_master@57;"esmacat master has been created."
2024/04/17;10:59:24.252;INFO;14629;0;esmacat_master::esmacat_master@67;"Ehercat-Esmacat shared memory initialized with key 1141178369"
2024/04/17;10:59:24.252;INFO;14629;0;esmacat_slave::esmacat_slave@16;"esmacat_slave object has been created!"
2024/04/17;10:59:24.252;INFO;14629;0;esmacat_master::StartInternalThread@130;"Esmacat Master Thread is creating!"
2024/04/17;10:59:24.252;INFO;14631;0;esmacat_master::esmacat_master_loop@162;"esmacat application is on!"
2024/04/17;10:59:24.252;INFO;14631;0;esmacat_master::esmacat_master_loop@167;"ecat application is on!"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@172;"ethercat setup is done in ecat_main!"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@176;"Name of the 0th slave: SENSO-Joint"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@177;"Product ID of the 0th slave: (unit:hex) 005b9729"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@178;"Vendor ID of the 0th slave: (unit:hex) 0000063a"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@179;"Input/Output Byte Size of the 0th slave: 29, 27"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@190;"size of ecat_input_data_stream: 29, size of ecat_output_data_stream: 27"
2024/04/17;10:59:25.243;INFO;14631;0;esmacat_master::esmacat_master_loop@192;"ecat setup is done in esmacat_main!"
2024/04/17;10:59:25.244;INFO;14631;0;esmacat_master::esmacat_master_loop@198;"Status of all ethercat slaves arrived OP!"
2024/04/17;10:59:25.244;INFO;14631;0;esmacat_master::esmacat_master_loop@251;"esmacat_main_loop: 1"
2024/04/17;11:01:11.826;INFO;15149;0;esmacat_master::esmacat_master@57;"esmacat master has been created."
2024/04/17;11:01:11.826;INFO;15149;0;esmacat_master::esmacat_master@67;"Ehercat-Esmacat shared memory initialized with key 1141178369"
2024/04/17;11:01:11.826;INFO;15149;0;esmacat_slave::esmacat_slave@16;"esmacat_slave object has been created!"
