Date;Time;Severity;TID;This;Function;Message
2024/04/10;15:13:39.700;INFO;22870;0;ecat_main_loop@101;"Ehercat-Esmacat shared memory initialized with key 1141178369"
2024/04/10;15:13:39.701;INFO;22870;0;ecat_main_loop@115;"ecat application is on"
2024/04/10;15:13:39.730;INFO;22870;0;ecat_main_loop@121;"ec_init on enp2s0 succeeded."
2024/04/10;15:13:39.751;INFO;22870;0;ecat_main_loop@125;"1 slaves found and configured."
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@132;"Slaves mapped, state to SAFE_OP."
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@140;"Slave Index: 0"
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@141;"Manufacturer code: 0000063a Name: SENSO-Joint Product ID: 005b9729,  Rev: 00010000 iByte: 29 oByte: 27"
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@155;"segments : 1 : 56 0 0 0"
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@157;"Request operational state for all slaves"
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@159;"Calculated workcounter 3"
2024/04/10;15:13:39.774;INFO;22870;0;ecat_main_loop@170;"ecat setup is done in ecat_main"
2024/04/10;15:13:39.775;INFO;22870;0;ecat_main_loop@183;"Operational state reached for all slaves."
2024/04/10;15:13:39.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 1"
2024/04/10;15:13:40.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 1001"
2024/04/10;15:13:41.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 2001"
2024/04/10;15:13:42.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 3001"
2024/04/10;15:13:43.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 4001"
2024/04/10;15:13:44.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 5001"
2024/04/10;15:13:45.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 6001"
2024/04/10;15:13:46.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 7001"
2024/04/10;15:13:47.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 8001"
2024/04/10;15:13:48.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 9001"
2024/04/10;15:13:49.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 10001"
2024/04/10;15:13:50.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 11001"
2024/04/10;15:13:51.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 12001"
2024/04/10;15:13:52.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 13001"
2024/04/10;15:13:53.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 14001"
2024/04/10;15:13:54.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 15001"
2024/04/10;15:13:55.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 16001"
2024/04/10;15:13:56.019;WARN;22870;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 212075 ns"
2024/04/10;15:13:56.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 17001"
2024/04/10;15:13:57.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 18001"
2024/04/10;15:13:58.682;WARN;22870;0;ecat_main_loop@249;"Cycle time exceeded the desired cycle time. Overflowed time: 202060 ns"
2024/04/10;15:13:58.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 19001"
2024/04/10;15:13:59.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 20001"
2024/04/10;15:14:00.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 21001"
2024/04/10;15:14:01.775;INFO;22870;0;ecat_main_loop@219;"ecat_main_loop: 22001"
2024/04/10;15:14:01.819;INFO;22870;0;ecat_main_loop@280;"Request init state for all slaves"
2024/04/10;15:14:01.819;INFO;22870;0;ecat_main_loop@289;"ecat main loop, close socket"
2024/04/10;15:14:01.828;INFO;22871;0;ecat_chk@398;"end of the ecat_chk_thread"
2024/04/10;15:14:01.835;INFO;22870;0;ecat_main_loop@302;"ecat app has been closed, ecat socket has been closed, shared memory at ecat_app has been detached.  "
